"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"7660163" 1.34306 0.98402 -0.166303 0.14569 -0.187058 0.540051 0.108681 12.6769 3.28972 -202.161
"7660164" 1.33189 1.0072 -0.173435 0.183659 -0.294933 0.555132 0.124807 11.9962 3.56346 -200.19
"7660165" 1.34547 1.05008 -0.13574 0.164225 -0.239825 0.500958 0.132604 11.4015 3.81208 -202.554
"7660166" 1.3163 1.00572 -0.174757 0.193813 -0.291191 0.533936 0.12342 12.0801 3.69275 -201.797
"7660167" 1.31989 1.02668 -0.157167 0.152195 -0.299392 0.548278 0.109512 12.6302 3.7373 -201.13
"7660168" 1.29424 1.12084 -0.150555 0.176237 -0.278672 0.477637 0.115108 13.4005 4.93301 -198.627
"7660169" 1.36916 0.995719 -0.193497 0.171521 -0.238355 0.530753 0.122398 11.818 3.3937 -202.11
"7660170" 1.30827 1.08848 -0.167156 0.141991 -0.174567 0.501802 0.0885902 14.3323 4.337 -200.094
"7660171" 1.33258 0.966839 -0.154846 0.155621 -0.183658 0.529605 0.110547 12.686 3.28677 -203.846
"7660172" 1.33189 1.0072 -0.173435 0.183659 -0.294933 0.555132 0.124807 11.9962 3.56346 -200.19
"7660173" 1.34986 1.04232 -0.12547 0.176739 -0.245465 0.502992 0.127369 11.3971 3.80971 -202.83
"7660174" 1.3163 1.00572 -0.174757 0.193813 -0.291191 0.533936 0.12342 12.0801 3.69275 -201.797
"7660175" 1.30906 1.03046 -0.157411 0.158273 -0.283724 0.535479 0.119549 12.6463 3.73901 -200.254
"7660176" 1.28862 1.12653 -0.147341 0.165934 -0.264507 0.483666 0.115995 13.4111 4.93096 -198.28
"7660177" 1.36916 0.995719 -0.193497 0.171521 -0.238355 0.530753 0.122398 11.818 3.3937 -202.11
"7660178" 1.30797 1.08736 -0.156513 0.130861 -0.176648 0.503244 0.0903231 14.3306 4.34316 -199.571
"7660179" 1.33258 0.966839 -0.154846 0.155621 -0.183658 0.529605 0.110547 12.686 3.28677 -203.846
"7660180" 1.33189 1.0072 -0.173435 0.183659 -0.294933 0.555132 0.124807 11.9962 3.56346 -200.19
"7660181" 1.34986 1.04232 -0.12547 0.176739 -0.245465 0.502992 0.127369 11.3971 3.80971 -202.83
"7660182" 1.32971 1.00594 -0.177594 0.203077 -0.296543 0.531287 0.121731 12.0794 3.70007 -201.708
"7660183" 1.30906 1.03046 -0.157411 0.158273 -0.283724 0.535479 0.119549 12.6463 3.73901 -200.254
"7660184" 1.29077 1.11995 -0.156122 0.170874 -0.258815 0.478896 0.108338 13.4133 4.91801 -198.056
"7660185" 1.36916 0.995719 -0.193497 0.171521 -0.238355 0.530753 0.122398 11.818 3.3937 -202.11
"7660186" 1.30627 1.09481 -0.142211 0.148272 -0.179482 0.500243 0.0951989 14.3197 4.34838 -198.295
"7660187" 1.33258 0.966839 -0.154846 0.155621 -0.183658 0.529605 0.110547 12.686 3.28677 -203.846
"7660188" 1.33189 1.0072 -0.173435 0.183659 -0.294933 0.555132 0.124807 11.9962 3.56346 -200.19
"7660189" 1.35458 1.05064 -0.143689 0.161898 -0.242124 0.498288 0.126613 11.3823 3.80325 -202.606
"7660190" 1.32971 1.00594 -0.177594 0.203077 -0.296543 0.531287 0.121731 12.0794 3.70007 -201.708
"7660191" 1.30906 1.03046 -0.157411 0.158273 -0.283724 0.535479 0.119549 12.6463 3.73901 -200.254
"7660192" 1.29077 1.11995 -0.156122 0.170874 -0.258815 0.478896 0.108338 13.4133 4.91801 -198.056
"7660193" 1.36916 0.995719 -0.193497 0.171521 -0.238355 0.530753 0.122398 11.818 3.3937 -202.11
"7660194" 1.30627 1.09481 -0.142211 0.148272 -0.179482 0.500243 0.0951989 14.3197 4.34838 -198.295
"7660195" 1.32649 0.979471 -0.16191 0.159926 -0.176512 0.524528 0.120726 12.6817 3.29269 -203.567
"7660196" 1.3442 1.01307 -0.163197 0.18926 -0.302403 0.540347 0.123743 12.0063 3.56254 -199.722
"7660197" 1.35458 1.05064 -0.143689 0.161898 -0.242124 0.498288 0.126613 11.3823 3.80325 -202.606
"7660198" 1.32971 1.00594 -0.177594 0.203077 -0.296543 0.531287 0.121731 12.0794 3.70007 -201.708
"7660199" 1.318 1.02814 -0.155595 0.151297 -0.265478 0.52905 0.125755 12.6586 3.74519 -200.802
"7660200" 1.28946 1.1209 -0.155843 0.171032 -0.256856 0.488097 0.104207 13.4278 4.91364 -197.847
"7660201" 1.36916 0.995719 -0.193497 0.171521 -0.238355 0.530753 0.122398 11.818 3.3937 -202.11
"7660202" 1.30627 1.09481 -0.142211 0.148272 -0.179482 0.500243 0.0951989 14.3197 4.34838 -198.295
"7660203" 1.32649 0.979471 -0.16191 0.159926 -0.176512 0.524528 0.120726 12.6817 3.29269 -203.567
"7660204" 1.35109 1.01888 -0.167732 0.194827 -0.287878 0.542894 0.12178 12.0062 3.56294 -200.08
"7660205" 1.34646 1.04904 -0.141962 0.156118 -0.238362 0.50237 0.13347 11.3824 3.81179 -202.684
"7660206" 1.32971 1.00594 -0.177594 0.203077 -0.296543 0.531287 0.121731 12.0794 3.70007 -201.708
"7660207" 1.318 1.02814 -0.155595 0.151297 -0.265478 0.52905 0.125755 12.6586 3.74519 -200.802
"7660208" 1.29301 1.13349 -0.159689 0.17431 -0.26259 0.482729 0.103526 13.4217 4.91481 -197.399
"7660209" 1.36771 0.985925 -0.186539 0.169184 -0.226648 0.5332 0.126576 11.8188 3.39099 -202.189
"7660210" 1.30627 1.09481 -0.142211 0.148272 -0.179482 0.500243 0.0951989 14.3197 4.34838 -198.295
"7660211" 1.32649 0.979471 -0.16191 0.159926 -0.176512 0.524528 0.120726 12.6817 3.29269 -203.567
"7660212" 1.35109 1.01888 -0.167732 0.194827 -0.287878 0.542894 0.12178 12.0062 3.56294 -200.08
"7660213" 1.35002 1.04991 -0.146644 0.165238 -0.224725 0.506637 0.134672 11.3792 3.80371 -202.326
"7660214" 1.32971 1.00594 -0.177594 0.203077 -0.296543 0.531287 0.121731 12.0794 3.70007 -201.708
"7660215" 1.318 1.02814 -0.155595 0.151297 -0.265478 0.52905 0.125755 12.6586 3.74519 -200.802
"7660216" 1.29301 1.13349 -0.159689 0.17431 -0.26259 0.482729 0.103526 13.4217 4.91481 -197.399
"7660217" 1.36771 0.985925 -0.186539 0.169184 -0.226648 0.5332 0.126576 11.8188 3.39099 -202.189
"7660218" 1.30627 1.09481 -0.142211 0.148272 -0.179482 0.500243 0.0951989 14.3197 4.34838 -198.295
"7660219" 1.326 0.983775 -0.153883 0.156872 -0.180235 0.524876 0.122026 12.6851 3.27952 -204.171
"7660220" 1.34827 1.0122 -0.178844 0.196368 -0.273185 0.537562 0.116731 12.0124 3.5766 -200.157
"7660221" 1.35002 1.04991 -0.146644 0.165238 -0.224725 0.506637 0.134672 11.3792 3.80371 -202.326
"7660222" 1.32971 1.00594 -0.177594 0.203077 -0.296543 0.531287 0.121731 12.0794 3.70007 -201.708
"7660223" 1.3207 1.02384 -0.170143 0.154123 -0.27514 0.523758 0.120902 12.6624 3.73982 -199.579
"7660224" 1.30149 1.14393 -0.152601 0.173429 -0.254179 0.479594 0.099587 13.4279 4.93101 -197.974
"7660225" 1.36771 0.985925 -0.186539 0.169184 -0.226648 0.5332 0.126576 11.8188 3.39099 -202.189
