countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rkna,rtfpna,rwtfpna,labsh,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k
AGO,Angola,Kwanza,1970,19026,19371.64258,5.926333,2.545808077,,,13600.49609,17865.77148,17970.30664,17540.3418,29074.98633,,,24671.76563,14491.88477,18582.32813,39668.02344,,,,,2.86251E-08,0.15784876,0.159408391,0.163315952,Extrapolated,Extrapolated,Market,Regular,,,0.290502459,0.243169516,0.484881312,0.067926027,-0.073129877,-0.01334943,0.261648861,0.164381537,0.095659955,0.355293632,0.28720805,0.256165415
AGO,Angola,Kwanza,1971,20159.91406,20708.0293,6.047736,2.566327095,,,14443.95996,18994.31445,19118.47266,18888.83008,31340.12891,,,26153.66016,15352.88281,19685.15625,42188.97266,,,,0.033993509,2.81911E-08,0.15634416,0.157707885,0.159625232,Extrapolated,Extrapolated,Market,Regular,,,0.2841115,0.240901917,0.480571091,0.066559166,-0.078563087,0.0064194,0.26157292,0.162036656,0.094133397,0.341379583,0.289067239,0.250956237
AGO,Angola,Kwanza,1972,20201.86523,20361.50391,6.179685,2.596926689,,,14594.79004,19189.71289,19292.37695,18715.62305,33649.48828,,,26197.76367,15385.04199,19741.62305,44650.81641,,,,0.033904918,2.70528E-08,0.159405246,0.160946339,0.165906161,Extrapolated,Extrapolated,Market,Regular,,,0.284281015,0.245512709,0.495537549,0.077740744,-0.070205234,-0.032866783,0.271609832,0.16584127,0.095035486,0.354366928,0.302158207,0.25432831
AGO,Angola,Kwanza,1973,21853.66016,21739.15234,6.322194,2.640159607,,,15841.93945,20839.4043,20921.51758,20161.88672,36282.51563,,,28323.57617,16658.42383,21373.36719,47390.76953,,,,0.03298353,2.45146E-08,0.179697067,0.181327894,0.188159704,Extrapolated,Extrapolated,Market,Regular,,,0.283010006,0.247866958,0.502726972,0.107163474,-0.082109995,-0.058657423,0.309556395,0.186497584,0.106592798,0.36074236,0.327401876,0.282904685
AGO,Angola,Kwanza,1974,22599.80469,21750.49414,6.474796,2.767432213,,,16529.30664,21869.86914,21945.25391,20989.19922,39281.48438,,,29214.47656,17197.64063,22056.42578,50165.24219,,,,0.033104688,2.54076E-08,0.193144754,0.1936955,0.202518284,Extrapolated,Extrapolated,Market,Regular,,,0.27933073,0.254443318,0.508184075,0.196308509,-0.099372558,-0.138894036,0.336217843,0.195400049,0.114502554,0.298353642,0.299328923,0.300478518
AGO,Angola,Kwanza,1975,21334.76953,20256.48047,6.637419,2.938054562,,,15606.72559,20783.25391,20991.06445,19562.2793,41984.73828,,,27741.4043,16251.75488,20808.22461,52583.51172,,,,0.033172924,2.55522E-08,0.149945125,0.149151474,0.160045162,Extrapolated,Extrapolated,Market,Regular,,,0.284747481,0.264617831,0.513049424,0.193266764,-0.074169844,-0.181511685,0.262334466,0.146758665,0.087567938,0.247661918,0.232308745,0.228577465
AGO,Angola,Kwanza,1976,20213.23828,19891.82617,6.80885,3.040992498,,,14755.40625,19613.26367,19808.42188,19092.85938,43722.66406,,,26285.97266,15383.06738,19717.85938,54712.61328,,,,0.03342694,2.93836E-08,0.151547402,0.151191518,0.156857878,Extrapolated,Extrapolated,Market,Regular,,,0.275532216,0.254433244,0.497291058,0.1020713,-0.051471688,-0.077856183,0.265476989,0.150110535,0.088422863,0.255545259,0.239472896,0.230549023
AGO,Angola,Kwanza,1977,20461.17969,20971.69922,6.989988,3.069069147,,,15066.45313,20013.10547,20001.87891,20061.54102,46535.82422,,,26480.0293,15582.49316,20071.95508,56891.96875,,,,0.03357793,2.9918E-08,0.163233876,0.163765609,0.163278595,Extrapolated,Extrapolated,Market,Regular,,,0.263876289,0.246573895,0.48713547,0.081821397,-0.102566861,0.023159778,0.287513126,0.165385143,0.095913089,0.283872932,0.264218003,0.244558677
AGO,Angola,Kwanza,1978,19407.77148,18825.4668,7.185188,3.157042027,,,14465.39844,19140.62109,19083.02148,18110.11328,49586.47266,,,25077.52344,14859.78809,19055.83789,58751.67188,,,,0.033543572,2.9918E-08,0.190412685,0.190917954,0.201174438,Extrapolated,Extrapolated,Market,Regular,,,0.275161028,0.258155376,0.523585975,0.158397689,-0.096883178,-0.118416898,0.341102144,0.192481312,0.111220587,0.340794653,0.317556113,0.278354138
AGO,Angola,Kwanza,1979,19719.53711,19402.16016,7.400231,3.241075754,,,14686.75,19322.61328,19342.11523,18849.40234,52295.65625,,,25156.91016,14874.67871,19039.41992,60542.4375,,,,0.033273894,2.9918E-08,0.207740948,0.209097505,0.214563176,Extrapolated,Extrapolated,Market,Regular,,,0.258639425,0.245942205,0.52052319,0.171114355,-0.129198939,-0.067020245,0.376987755,0.213395119,0.123645,0.341552228,0.339384168,0.30096814
AGO,Angola,Kwanza,1980,19247.05078,18621.18945,7.63842,3.28312397,,,13726.74023,18204.81445,19008.51563,18413.08008,54263.94922,,,25844.25,14773.60254,18751.42969,62152.35938,,,,0.03282018,2.9918E-08,0.286376178,0.283550054,0.292719394,Extrapolated,Extrapolated,Market,Regular,,,0.290727079,0.243200719,0.454761446,0.257132143,-0.161378071,-0.084443361,0.485000691,0.274887047,0.159396368,0.401652336,0.410111547,0.386281073
AGO,Angola,Kwanza,1981,19093.98047,18571.2793,7.903368,3.448326588,,,14210.25977,18759.60938,18939.82031,18309.68359,56722.8125,,,24707.10156,14980.06055,19018.88867,63818.34766,,,,0.031953968,2.9918E-08,0.263673902,0.266342968,0.275509298,Extrapolated,Extrapolated,Market,Regular,,,0.290216625,0.248466909,0.485889614,0.246008545,-0.182527393,-0.088054299,0.440817078,0.274680001,0.157868214,0.416145861,0.413604826,0.379434884
AGO,Angola,Kwanza,1982,19264.37109,18714.35156,8.191774,3.625310898,,,15021.48535,20224.9668,19215.67969,18536.46094,58927.12891,,,24707.10156,14930.66992,19601.05469,65968.32031,,,,0.031130891,2.9918E-08,0.259078056,0.262519389,0.272138715,Extrapolated,Extrapolated,Market,Regular,,,0.263952255,0.280716002,0.54642278,0.175181463,-0.108008623,-0.158263907,0.470368356,0.272453848,0.157013229,0.426157653,0.424771994,0.377551436
AGO,Angola,Kwanza,1983,20028.24414,19135.09766,8.491682,3.769478083,,,15750.07715,20174.88281,19869.16602,18917.93555,57689.42969,,,25744.80078,16136.70215,20045.68555,67514.89063,,,,0.03094786,2.9918E-08,0.261055112,0.264582634,0.277886331,Extrapolated,Extrapolated,Market,Regular,,,0.293101013,0.23389478,0.539446354,0.180106238,-0.075579457,-0.170968935,0.451343738,0.277138719,0.157664338,0.424371898,0.439243793,0.394692123
AGO,Angola,Kwanza,1984,22497.75,21075.30859,8.786652,3.914046288,,,16890.71289,21577.70508,22043.7832,20618.5293,57936.67188,,,27289.48828,16059.5,20232.87109,69258.40625,,,,0.0303236,2.9918E-08,0.246194452,0.252793789,0.270268172,Extrapolated,Benchmark,Market,Regular,,,0.227993026,0.227319375,0.591207623,0.224701092,-0.089355908,-0.18186523,0.466834147,0.276576132,0.161107058,0.417999655,0.437108397,0.403155327
AGO,Angola,Kwanza,1985,22171.19141,21788.5332,9.065562,4.079771996,,,17267.06055,21019.82422,21947.63086,21788.76758,57978.60938,,,28244.62109,17678.0625,20780.18359,71063.28906,,,,0.029848903,2.9918E-08,0.310000509,0.312809706,0.315090418,Extrapolated,Benchmark,Market,Regular,,,0.276896656,0.17223388,0.515578687,0.270027697,-0.070767008,-0.163969889,0.534508211,0.325735367,0.189426419,0.354735076,0.435272634,0.366804957
AGO,Angola,Kwanza,1986,22426.52344,22168.99609,9.32255,4.213446617,,,19110.37695,22931.93359,22308.60156,22353.29297,59995.83203,,,29141.7168,19351.92188,22511.79102,72305.86719,,,,0.029496826,2.9918E-08,0.285398602,0.288811356,0.288233936,Extrapolated,Benchmark,Market,Regular,,,0.296132952,0.170961708,0.558791459,0.168704301,-0.091639057,-0.102951378,0.475627589,0.305877508,0.184586251,0.38847667,0.47924152,0.402405173
AGO,Angola,Kwanza,1987,25664.95313,25129.86133,9.562796,4.344556332,,,19503.05078,23863.44336,25565.89258,25212.09766,61238.05078,,,31181.74609,19365.42383,23110.78125,73923.5625,,,,0.02872364,2.9918E-08,0.285131454,0.290199608,0.294271916,Extrapolated,Benchmark,Market,Regular,,,0.254911333,0.17294842,0.518647909,0.220554918,-0.07123816,-0.095824406,0.484729241,0.312868361,0.187030728,0.390211254,0.537195325,0.413128227
AGO,Angola,Kwanza,1988,25415.91602,24325.97266,9.79968,4.463982582,,,20294.7168,23516.42188,25304.66406,24405.5293,62165.46484,,,32919.46875,19802.98438,22398.88672,74851.44531,,,,0.028423175,2.9918E-08,0.309456527,0.316538244,0.328199923,Extrapolated,Benchmark,Market,Regular,,,0.263364494,0.132007137,0.568197787,0.239730209,-0.088234246,-0.115065321,0.566543543,0.361148496,0.190294536,0.461120278,0.561988533,0.459267497
AGO,Angola,Kwanza,1989,25968.92773,24578.2168,10.052567,4.612678051,,,20130.73633,23014.48633,25786.73828,24394.94336,62457.6875,,,33047.02344,20386.8457,22715.83594,75257.95313,,,,0.028184462,2.9918E-08,0.356961995,0.361465305,0.382087827,Extrapolated,Benchmark,Market,Regular,,,0.28925705,0.118210979,0.535944164,0.24357979,-0.094825089,-0.092166901,0.636543374,0.392901689,0.206067768,0.531669796,0.561150134,0.499529421
AGO,Angola,Kwanza,1990,27311.73438,26450.07617,10.335052,4.789904118,,,19516.51367,22426.32617,26415.45898,26184.17773,63037.33203,,,32900.08203,20083.6582,22653.70703,75884.3125,,,,0.027666813,2.9918E-08,0.386339992,0.389805019,0.393248081,Extrapolated,Benchmark,Market,Regular,,,0.271919578,0.111128673,0.473435611,0.32926631,-0.095132582,-0.090617619,0.646749886,0.413045511,0.236772545,0.453551859,0.570969105,0.504327774
AGO,Angola,Kwanza,1991,29188.05469,29058.4082,10.653515,4.958408356,,,17841.8457,24344.32031,28092.29492,26423.00977,65370.53906,,,33226.23828,15103.87598,20556.86914,79916.08594,,,,0.02624844,5.50983E-08,0.479467124,0.43312785,0.460490853,Extrapolated,Benchmark,Market,Regular,,,0.131786063,0.246091366,0.543452859,0.188043237,-0.095969267,-0.013404283,0.981921603,0.305979601,0.35762307,0.686234236,0.640122652,0.396858186
AGO,Angola,Kwanza,1992,30681.61523,31908.67578,11.00291,5.161230564,,,16469.75195,27353.79492,29720.69727,33489.50781,70683.94531,,,31286.39844,13337.52148,21034.01172,87563.39063,,,,0.025808135,2.51417E-07,0.542802393,0.470189899,0.417276114,Extrapolated,Benchmark,Market,Regular,,,0.076001465,0.324998587,0.415786982,0.335287213,-0.119712271,-0.032361984,1.111109865,0.360312555,0.438921773,0.336781591,0.552855313,0.490486354
AGO,Angola,Kwanza,1993,21642.96289,22701.62891,11.37175,5.40414238,,,11631.16113,20132.21875,20852.81055,22180.95117,75355.75,,,23782.84961,11788.90625,17915.49023,92696.10156,,,,0.027971925,2.66017E-06,0.589869797,0.485614806,0.456537396,Extrapolated,Benchmark,Market,Regular,,,0.200808212,0.383259416,0.323567927,0.364226818,-0.092756994,-0.179105401,0.856419279,0.342972959,0.424447575,0.408501208,0.552439868,0.464278996
AGO,Angola,Kwanza,1994,24995.91602,25409.75,11.74296,5.576463699,,,13462.21973,21520.08398,23763.625,23771.47852,80174.84375,,,24101.38867,13255.66504,19343.92578,97478.92969,,,,0.029039463,0.000059515,0.484368503,0.438549429,0.43840456,Extrapolated,Benchmark,Market,Regular,,,0.18832244,0.338971943,0.377995729,0.278221011,-0.082515329,-0.100995786,0.593271886,0.361999801,0.430111411,0.481095016,0.583935916,0.466006994
AGO,Angola,Kwanza,1995,28955.19336,24576.25,12.105105,5.733259201,,,15762.22266,25468.37305,27072.88867,22308.42578,86868.89844,,,27716.59766,15389.91797,22983.125,103837.9844,,,,0.030339388,0.00275023,0.201744437,0.18446973,0.223867387,Extrapolated,Benchmark,Market,Regular,,,0.206231847,0.435088992,0.500327289,0.34026444,-0.108885817,-0.373026788,0.250083012,0.156416634,0.181819577,0.488533467,0.637862682,0.190908909
AGO,Angola,Kwanza,1996,32531.19531,27163.52148,12.452725,5.861942768,,,12067.1582,26045.63477,29830.35352,23867.83789,95926.9375,,,33259.91797,13355.54004,24500.33398,114455.3828,,,,0.031158762,0.128029167,0.267864883,0.218763813,0.273414046,Extrapolated,Benchmark,Market,Regular,,,0.307588995,0.58566159,0.197993368,0.387014717,-0.116438113,-0.361820549,0.309886704,0.176376474,0.202582667,0.536660433,0.636211872,0.207489878
AGO,Angola,Kwanza,1997,35976.71094,32765.59375,12.792237,6.00160408,,,19797.68945,30438.44336,33043.46094,28900.91406,102414.4609,,,35089.21094,18549.36328,27482.23633,121194.6016,,,,0.034982104,0.229040083,0.248736694,0.231464177,0.264641374,Extrapolated,Benchmark,Market,Regular,,,0.175987497,0.368180513,0.509032011,0.326396525,-0.12118423,-0.258412302,0.339554346,0.199327741,0.21733833,0.498494565,0.606159925,0.228615731
AGO,Angola,Kwanza,1998,30670.75195,28824.81445,13.138265,6.141776085,,,18125.22266,32525.65039,28057.97852,26080,113110.9375,,,35089.21094,20155.08594,32257.00586,131815.2031,,,,0.034540065,0.392823518,0.275920302,0.229704425,0.247125834,Extrapolated,Benchmark,Market,Regular,,,0.39327696,0.552163601,0.301708609,0.337590992,-0.123538658,-0.461201489,0.349590313,0.17153439,0.179891495,0.430471659,0.572277427,0.189714924
AGO,Angola,Kwanza,1999,39864.60938,32646.9082,13.511575,6.305585861,,,23850.13477,35990.22266,36775.07422,30141.59961,121663.9141,,,36226.03125,22918.94336,33135.48438,139675.4219,,,,0.035491116,2.790706167,0.169783592,0.165553927,0.201988533,Extrapolated,Benchmark,Market,Regular,,26.66666667,0.207008228,0.402768493,0.584261477,0.376287818,-0.105048619,-0.465277404,0.196034624,0.157244416,0.160482661,0.417432874,0.559582531,0.171006694
AGO,Angola,Kwanza,2000,32284.10742,26702.41602,13.926373,6.525248528,,,20255.5625,25906.13477,30346.45117,26584.60352,123250.0078,,,37317.1875,20036.58984,25093.29883,139992.1094,,,,0.039358467,10.04054417,0.322144836,0.291911334,0.333218217,Extrapolated,Benchmark,Market,Regular,,,0.262596875,0.212550581,0.499331474,0.736671269,-0.10223081,-0.608919382,0.501618407,0.183533543,0.227760253,0.415412426,0.531763673,0.202164367
AGO,Angola,Kwanza,2001,30731.19141,28518.97852,14.388244,6.792869091,,,23772.05859,29019.55273,29147.80273,27434.73438,125223.4688,,,38488.94922,25759.66406,30857.17773,139919.2188,,,,0.03876058,22.05786167,0.34328717,0.324947268,0.345237464,Extrapolated,Benchmark,Market,Regular,,,0.453758359,0.191271901,0.412736595,0.48578921,-0.223238513,-0.320317537,0.392517312,0.241864172,0.289164068,0.471967429,0.524873734,0.265039831
AGO,Angola,Kwanza,2002,37226.92578,33476.51563,14.890474,7.03218174,,,25306.42188,31060.48828,35603.49219,33866.48438,126928.2109,,,44081.39063,26912.66406,32362.86719,140086.6406,,,,0.037936211,43.53020667,0.337308764,0.321084678,0.337553084,Extrapolated,Benchmark,Market,Regular,,,0.353172839,0.169904426,0.394068033,0.507983744,-0.170165271,-0.254963785,0.378868451,0.249731122,0.30006202,0.426895171,0.515500128,0.260193139
AGO,Angola,Kwanza,2003,38216.3125,37296.9375,15.419943,7.293320656,,,28460.14453,34366.00391,36998.23047,37356.09766,129557.3125,,,45536.07813,29939.16797,35657.10547,140577.1406,,,,0.037104707,74.60630083,0.388376981,0.377214462,0.373600781,Extrapolated,Benchmark,Market,Regular,,,0.392311752,0.158096269,0.369548976,0.513841629,-0.207923383,-0.225875288,0.406455103,0.32342273,0.369185317,0.446037948,0.568603635,0.346482545
AGO,Angola,Kwanza,2004,42518.26172,44518.40234,15.95746,7.520199299,,,29651.82617,34337.78125,41557.49219,44175.21875,133775.3594,,,50636.11719,30787.49805,35464.53906,140002.0625,,,,0.036714241,83.5413625,0.485371232,0.475852311,0.447654337,Extrapolated,Benchmark,Market,Regular,,40.55555556,0.347585171,0.106076531,0.323646963,0.563797176,-0.24904342,-0.092062414,0.513508454,0.415618293,0.455152879,0.478143871,0.604688942,0.425927728
AGO,Angola,Kwanza,2005,52943.32031,61016.52344,16.489021,7.738188744,,,30814.16406,35768.22656,52943.32031,61016.52344,139891,,,61016.52344,30814.16602,35768.22656,139891,,,,0.035646431,87.15914167,0.626751542,0.619731724,0.537733912,Benchmark,Benchmark,Market,Regular,0.385510213,45,0.251353443,0.081192166,0.253659964,0.700307429,-0.202886507,-0.083626516,0.662679981,0.576068585,0.591149769,0.493785888,0.622955978,0.560121655
AGO,Angola,Kwanza,2006,64503.36719,76036.70313,17.010366,7.974039555,,,29817.54297,37984.39844,64176.46484,73534.85938,150258.2813,,,72365.59375,30008.07617,38090.16797,143122.9219,,,,0.0340591,80.36807206,0.658084273,0.651165366,0.568295062,Extrapolated,Benchmark,Market,Regular,,43.33333333,0.201148108,0.111061007,0.204340443,0.75953728,-0.21616672,-0.059920155,0.678745623,0.625904215,0.637745738,0.54019326,0.667580962,0.570975065
AGO,Angola,Kwanza,2007,74966.25,95854.40625,17.525367,8.188814163,,,39638.56641,51459.67969,73983.35156,88867.29688,158770.0313,,,89146.89063,40489.09766,52380.92188,149926.9219,,,,0.035078667,76.70614275,0.851469398,0.817060649,0.680215299,Extrapolated,Benchmark,Market,Regular,,40,0.234397128,0.13301985,0.211645082,0.735400915,-0.192348391,-0.122114629,0.983635515,0.701681274,0.705095334,0.582899094,0.720119834,0.617654681
AGO,Angola,Kwanza,2008,87251.80469,108925.6641,18.037964,8.442276955,,,49709.82813,64829.31641,86545.34375,105593.2422,169721.5781,,,101463.0234,49833.95313,65023.10547,159350.5,,,,0.037751585,75.03335417,0.997797251,0.97264719,0.797192037,Extrapolated,Extrapolated,Market,Regular,,40,0.233061492,0.143186137,0.237705633,0.88035351,-0.218795493,-0.275511295,1.112574419,0.889958899,0.885262479,0.696387589,0.88392967,0.777690649
AGO,Angola,Kwanza,2009,76140.97656,100321.5,18.555115,8.762990952,,,59750.71094,76197.89844,75818.27344,88532.25781,176104.2031,,,103887.9922,61479.5,78477.67969,169636.9375,,,,0.039439946,79.32816667,1.065909505,0.995702147,0.852710783,Extrapolated,Extrapolated,Market,Regular,,43.33333333,0.389782667,0.185776249,0.285120606,0.635262728,-0.200055584,-0.295886666,1.318680138,0.740646981,0.720351888,0.742677867,1.118486285,0.657221973
AGO,Angola,Kwanza,2010,97857.80469,108152.5234,19.081912,9.096216202,,,62021.18359,78765.375,97417,99816.57031,183008.2188,,,107472.125,63569.79688,81145.90625,179438.125,,,,0.043150399,91.90572034,0.861113966,0.847008288,0.826646328,Extrapolated,Extrapolated,Market,Regular,,41.11111111,0.358313799,0.167749584,0.263037771,0.629094005,-0.18680805,-0.231387109,0.937856376,0.794760307,0.756574326,0.824135959,0.904203832,0.70677644
AGO,Angola,Kwanza,2011,106236.2031,107484.0391,19.618432,9.411351204,,,62840.49609,79865.14844,105532.25,103966.8203,195309.0781,,,111634.8828,64650.48828,82504.22656,189148.2031,,,,0.042993769,93.7405,0.989201844,0.988623679,1.003509521,Extrapolated,Extrapolated,Market,Regular,,43.88888889,0.350651443,0.163750812,0.253776938,0.668804049,-0.188488603,-0.248494655,1.015802277,0.986489716,0.952447217,1.06645298,1.16618228,0.868385196
ALB,Albania,Lek,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Lek,1970,8043.719727,7921.856445,2.135599,0.690940738,,2.076728582,4771.89502,7826.004883,7839.515137,7873.946777,14397.88574,,,6782.102539,4839.932617,7033.494141,21072.85352,,,,,5,0.318173677,0.299404532,0.298095286,Extrapolated,Extrapolated,Market,Regular,,,0.432137072,0.387875378,0.173898891,0.001834281,-0.003441653,0.007696039,0.38574955,0.270078685,0.150248295,0.905073166,0.999690235,0.423859775
ALB,Albania,Lek,1971,8365.897461,8222.091797,2.18865,0.712750733,,2.105365753,4952.519043,8150.914551,8165.282715,8184.126953,15980.21191,,,7053.441895,5034.428711,7314.935059,23066.12305,,,,0.033029649,5,0.31538868,0.295707583,0.29502669,Extrapolated,Extrapolated,Market,Regular,,,0.429508358,0.390804708,0.175628766,0.002825545,-0.003428691,0.004661307,0.38413343,0.265232569,0.147270168,0.913874328,1.002785444,0.413490534
ALB,Albania,Lek,1972,8701.84082,8566.196289,2.241623,0.735125899,,2.134397984,5142.367676,8483.486328,8499.352539,8533.151367,17634.85156,,,7336.560547,5236.560547,7608.012695,25084.46484,,,,0.033746518,5,0.312484115,0.292244464,0.291086912,Extrapolated,Extrapolated,Market,Regular,,,0.424235106,0.391545743,0.178398967,0.002440919,-0.003714705,0.007093953,0.383740346,0.261093343,0.143035849,0.912921667,1.009491444,0.402933896
ALB,Albania,Lek,1973,9050.118164,8907.039063,2.294578,0.758733153,,2.163830757,5326.081055,8823.095703,8836.737305,8869.3125,19378.8457,,,7631.336914,5444.059082,7914.672852,27135.05664,,,,0.034261167,5,0.310295045,0.289178222,0.288116127,Extrapolated,Extrapolated,Market,Regular,,,0.420765698,0.39428252,0.179740906,0.004143815,-0.005177291,0.006244337,0.382850266,0.257016529,0.140446441,0.869348884,0.957402945,0.392372161
ALB,Albania,Lek,1974,9412.000977,9281.847656,2.347607,0.781266987,,2.193669081,5563.536133,9325.720703,9343.181641,9388.273438,21349.79102,,,7934.350098,5666.081543,8228.642578,29223.81445,,,,0.034627121,5,0.305684,0.28131777,0.279966593,Extrapolated,Extrapolated,Market,Regular,,,0.413731992,0.400732338,0.178872839,0.008174035,-0.010654758,0.009143542,0.378478475,0.245284867,0.137310684,0.784101486,0.792693913,0.379530132
ALB,Albania,Lek,1975,9793.179688,9632.942383,2.400801,0.804371238,,2.223918915,5786.419922,9829.388672,9850.938477,9870.833984,23342.34961,,,8255.946289,5892.964844,8559.602539,31351.16211,,,,0.034884062,5,0.302369267,0.27450487,0.27395156,Extrapolated,Extrapolated,Market,Regular,,,0.406915307,0.409587383,0.17929858,0.009651955,-0.010878016,0.005424798,0.376597987,0.23462445,0.133908358,0.79469651,0.786653638,0.3678675
ALB,Albania,Lek,1976,10182.47266,9983.540039,2.454255,0.828055501,,2.25723815,5995.146484,10171.06738,10176.91699,10166.34668,24967.61328,,,8588.65332,6117.195313,8910.821289,33531.17578,,,,0.035046779,5,0.299886674,0.2734119,0.273696154,Extrapolated,Extrapolated,Market,Regular,,,0.409164965,0.41075924,0.18054013,0.007508321,-0.006795384,-0.001177272,0.373691192,0.235403492,0.132620638,0.780941784,0.792308211,0.364293069
