"","x"
"83",-0.98253065665236
"84",-1.28271602413298
"85",-0.491230751641032
"86",-0.501921466071786
"87",-0.652795884314725
"88",-0.538583293655146
"89",-0.308403615146905
"90",-0.574649397025836
"91",-0.475295613623801
"92",-0.454358943163796
"93",-0.563223834181454
"94",-0.584753277333892
"95",-1.05361488858356
"96",-1.2714993732852
"97",-1.63386405546773
"98",-0.80116247662304
"99",-1.14227543521445
"100",-1.00287878276777
"101",-0.68780977052071
"102",-0.888374909341538
"103",-1.4838001075138
"104",-0.949823944933189
"105",-1.08953296650147
"106",-1.09276874616048
"107",-1.4547969282125
"108",-2.02906437278619
"109",-1.54188067805723
"110",-1.7884085497881
"111",-4.44065567533804
"112",-1.50649282488117
"113",-5.05509302222571
"114",-5.35464237031157
"115",-0.902298393871945
"116",-2.7510566791124
"117",-4.8700740207138
"118",-8.93954381658387
"119",-1.22614200791716
"120",-1.59883152735816
"121",-1.55289675152694
"122",-2.47144493463566
"123",-1.26601098707391
"124",-0.910698584212633
"125",-1.53124930393996
"126",-1.43982536701248
"127",-1.4131057713891
"128",-1.24007162115562
"129",-6.27092087008011
"130",-0.846238254716444
"131",-0.900273299111173
"132",-6.92250027318478
"133",-11.8716412533381
"134",-11.6242858957001
"135",-11.7170547435257
"136",-6.97716850254116
"137",-9.59330986661995
"138",-9.93073970304938
"139",-14.8361964622849
"140",-17.9506785630892
"141",-3.56005287723152
"142",-3.14323236717437
"143",-4.25775036417039
"144",-3.19469366325159
"145",-2.17239395308559
"146",-4.5613228693149
"147",-2.11374538602771
"148",-2.37628960465098
"149",-2.66054756645307
"150",-2.44779152194991
"151",-1.49901823419765
"152",-1.93947626936927
"153",-3.15086635898072
"154",-3.08121018034016
"155",-2.56446318515778
"156",-1.71470537157438
"157",-1.81992589070204
"158",-1.88691611811755
"159",-1.67346671091144
"160",-2.00580567240705
"161",-2.60868965328002
"162",-2.20450073861358
"163",-1.79844664328586
"164",-1.64737755232735
"165",-1.80377940395497
"166",-2.05986049545141
"167",-1.74685227061578
"168",-1.60412631738513
"169",-1.52484471198325
"170",-1.74604422624993
"171",-1.77596912301206
"172",-2.07009593347085
"173",-1.36936014584607
"174",-2.37698435098274
"175",-1.75814601322184
"176",-1.85876339439417
"177",-2.27748322469584
"178",-2.38074711288763
"179",-4.10350327725404
"180",-4.47494352276022
"181",-4.31369144845132
"182",-4.20744210450716
"183",-4.07430932009807
"184",-3.25612087413561
"185",-2.82438885593936
"186",-4.64587923335486
"187",-7.57479645549064
"188",-8.16260292334755
"189",-4.20432287785089
"190",-4.3401484066587
"191",-2.85999437478345
"192",-7.29535928984297
"193",-8.3341069078626
"194",-10.2333941071063
"195",-4.10039161008692
"196",-9.15751695130677
"197",-3.67743510773898
"198",-4.31154676360757
"199",-4.24545689615972
"200",-3.11143824115457
"201",-1.75067747401306
"202",-1.19649024738812
"203",-2.12304542585734
"204",-1.56610549007952
"205",-1.79271748480929
"206",-1.3782311883578
"207",-0.566059018986379
"208",-0.54183936286221
"209",-0.583736565166301
"210",-0.522883698473727
"211",-0.581704237493422
"212",-0.565762932321791
"213",-2.2936632921821
"214",-3.99690038898153
"215",-2.53035966463751
"216",-2.6946578827933
"217",-1.73596783307705
"218",-1.0988449375524
"219",-1.56785836903971
"220",-1.94872028291978
"221",-2.34254167368691
"222",-1.09288877619603
"223",-0.920285894661784
"224",-1.28018095180703
"225",-1.48622665074187
"226",-1.30102807970582
"227",-1.20700204177121
"228",-2.12911288053685
"229",-1.63083131817048
"230",-0.882435997646742
"231",-0.828672739057235
"232",-0.707991823552711
"233",-2.78435298181322
"234",-0.802814584581822
"235",-6.47374225870871
"236",-1.13934463124486
"237",-3.4819628807897
"238",-1.08482476878628
"239",-1.15487282958392
"240",-1.41339364511004
"241",-0.546085739504665
"242",-0.754573492634707
"243",-10.2955433212486
"244",-10.2721822066703
"245",-13.0822965096503
"246",-13.0788556390371
"247",-13.2276440152136
"248",-12.2559393374287
"249",-12.272968108221
"250",-11.717894474609
"251",-12.7407459106366
"252",-11.4579558315369
"253",-11.9229285682646
"254",-14.1735327058558
"255",-13.2725228341317
"256",-12.9821924918795
"257",-12.4653638651562
"258",-11.8630384931658
"259",-12.3163971230254
"260",-10.3181648846531
"261",-11.6040185221859
"262",-15.4728672794477
"263",-11.3878722971958
"264",-7.9838034126164
"265",-7.81582912280528
"266",-7.53711947286822
"267",-7.70132921730251
"268",-7.44914322241367
"269",-7.9144630207296
"270",-7.83772710523944
"271",-3.30988112779068
"272",-3.80247819614469
"273",-3.98304896612065
"274",-4.28118390368667
"275",-4.44546374590261
"276",-3.58642180550919
"277",-4.55751748285703
"278",-4.73657899616048
"279",-5.12808951089026
"280",-5.17392260725374
"281",-1.37823988671478
"282",-0.893375006516071
"283",-0.909666748683912
"284",-0.960764776046773
"285",-1.38990074443758
"286",-2.75066583195456
"287",-1.31626542370358
"288",-2.4869752320687
"289",-1.18587082200316
"290",-2.14495594826655
"291",-1.69134537690735
"292",-3.93588922717887
"293",-2.07679653654054
"294",-2.15658716808812
"295",-4.62845205997435
"296",-0.590363691909477
"297",-1.56999844740447
"298",-2.78163376094306
"299",-1.9324504136773
"300",-3.30669634272831
"301",-2.06795920026869
"302",-2.45818613984734
"303",-2.38217920864727
"304",-2.3197024945202
"305",-2.62353645387871
"306",-1.43988707982625
"307",-1.46974141420976
"308",-4.01229162552953
"309",-5.86837146092609
"310",-1.95405490225649
"311",-2.85427271171092
"312",-2.91331997867717
"313",-3.18546345471435
"314",-2.94550628748815
"315",-1.1071581898555
"316",-0.689429936130769
"317",-0.858519645092824
"318",-0.599279317273014
"319",-3.49551319189849
"320",-0.727495477877822
"321",-0.797554910930767
"322",-1.1411969867938
"323",-0.852801836531255
"324",-0.860297913202556
"325",-1.08200990310998
"326",-0.785859493103672
"327",-0.819402524884146
"328",-0.632119445015641
"329",-0.499969977368877
"330",-0.928164583446247
"331",-0.799721561126136
"332",-0.717190349774439
"333",-0.840057255430864
"334",-0.779805150122509
"335",-0.733306299920294
"336",-1.11736079393687
"337",-0.402368285203798
"338",-2.81499178277515
"339",-2.188023318678
"340",-2.0273069268711
"341",-2.28578327746284
"342",-2.05849697994879
"343",-1.80732588736776
"344",-2.10460107984961
"345",-1.87819086227272
"346",-2.52534757867772
"347",-1.67095298432759
"348",-1.56530480779122
"349",-1.55574382222416
"350",-1.48851752967351
"351",-0.697850510670493
"352",-0.92767668619487
"353",-0.968763021024718
"354",-0.377980292484325
"355",-0.313469788720804
"356",-0.587353576852737
"357",-0.412456004480208
"358",-1.0597498550525
"359",-0.66548416791459
"360",-0.927483970727284
"361",-4.90339910456105
"362",-1.18982442244519
"363",-1.20468662982544
"364",-5.5308840732922
"365",-6.02907907797833
"366",-5.97361820129239
"367",-0.372028412422926
"368",-6.69232027703131
"369",-1.52699233419789
"370",-1.24394713545205
"371",-0.455362773676791
"372",-1.58286896522212
"373",-1.92454809687068
"374",-0.443504345517898
"375",-1.20198230834947
"376",-4.20043938256921
"377",-1.98272680806231
"378",-1.65287420231844
"379",-1.50802894295036
"380",-1.09866114064719
"381",-1.89458250979239
"382",-1.70123311841685
"383",-2.54053924087458
"384",-2.84539557900615
"385",-2.47119231905252
"386",-0.733443950208609
"387",-10.2360237447269
"388",-10.2644888458643
"389",-10.7236282367222
"390",-10.8913848383226
"391",-10.7862066212681
"392",-10.807577365039
"393",-11.0348604737439
"394",-11.4058731820528
"395",-11.2649776461394
"396",-11.305323083548
"397",-11.4297947705111
"398",-10.989978422526
"399",-11.4479568552347
"400",-11.6780458569017
"401",-11.7979635109637
"402",-12.0343076075464
"403",-2.11892874253696
"404",-12.0161981003401
"405",-12.0274913808283
"406",-12.5224951624754
"407",-12.4638547463146
"408",-12.7064430343317
"409",-12.3589771110376
"410",-8.65212995118798
"411",-6.94398332959394
"412",-7.01559286262132
"413",-5.7120759889295
"414",-13.7916743638827
"415",-13.3984679363111
"416",-13.0448746404852
"417",-6.22764780373994
"418",-11.2755166266065
"419",-11.6023431292522
"420",-11.9314183590446
"421",-11.8756588107558
"422",-10.2929477013104
"423",-10.408195550311
"424",-3.37201092147892
"425",-2.98727204658719
"426",-2.58048481867985
"427",-4.68911363919619
"428",-5.27582120663632
"429",-4.04965865803242
"430",-3.07118850452318
"431",-10.5397675344201
"432",-10.4140069780655
"433",-10.4041180546191
"434",-10.6813991733155
"435",-2.64392467529506
"436",-0.975786148649171
"437",-1.15195974634712
"438",-1.83872946842516
"439",-1.56038918922928
"440",-0.860745261835091
"441",-0.94208904200359
"442",-1.30528598242473
"443",-1.29261503743709
"444",-2.09129183950414
"445",-2.25327791902719
"446",-1.88058248169086
"447",-2.22862588129894
"448",-1.94917903821941
"449",-8.9024861065148
"450",-2.57911163283667
"451",-1.91886091713276
"452",-2.11730565639738
"453",-3.81344432853375
"454",-3.72699687687392
"455",-4.74880112253503
"456",-2.39360907909876
"457",-2.72207950395364
"458",-5.65723680379688
"459",-4.92349399993999
"460",-2.1870357936445
"461",-2.30589189474471
"462",-2.4485788242224
"463",-2.59558411058418
"464",-0.559539489272805
"465",-1.16799908602379
"466",-2.62933866879732
"467",-2.43539079809813
"468",-2.84069518719493
"469",-3.27880883772524
"470",-2.00276145187313
"471",-1.03666996148285
"472",-0.856422248406939
"473",-0.965409273402105
"474",-0.954615202417811
"475",-1.12732089832003
"476",-1.20734908466055
"477",-1.4373184036964
"478",-3.39158576092583
"479",-3.54569169462307
"480",-1.98567430730651
"481",-1.99403918188848
"482",-2.53258850738869
"483",-1.29448780705579
"484",-1.99849978182219
"485",-2.01662906515273
"486",-1.79925327669826
"487",-0.833681771625083
"488",-0.719266339453082
"489",-1.20850625067369
"490",-1.38808465478334
"491",-1.40729008452155
"492",-1.73905909651142
"493",-1.50374225198308
"494",-1.29694338575706
"495",-1.32521042119274
"496",-1.22863186449711
"497",-1.1574384657278
"498",-2.05223223071065
"499",-3.07024945498848
"500",-2.65437819481211
"501",-6.31482063254544
"502",-8.04124816047919
"503",-6.48998455807699
"504",-2.55039319850847
"505",-1.849752214572
"506",-1.76238014657293
"507",-2.44516065637193
"508",-2.91663779815531
"509",-1.74235223267029
"510",-1.9235367585798
"511",-1.90154545912549
"512",-1.3927476532473
"513",-1.39238811264353
"514",-1.2879187409958
"515",-1.91673956945343
"516",-4.88796003501301
"517",-1.14646133536555
"518",-2.39668860844176
"519",-2.48907342339677
"520",-2.24016208496906
"521",-2.39071196502736
"522",-1.74792049051412
"523",-1.79738798829419
"524",-2.0956493920037
"525",-3.05527302823427
"526",-2.96425587147913
"527",-1.90831046521134
"528",-1.94492773922694
"529",-2.47139995166536
"530",-2.72307259246361
"531",-3.17542621627726
"532",-3.04008016044175
"533",-5.35477541092764
"534",-2.95881925324139
"535",-2.83298745083287
"536",-5.19030251018951
"537",-3.35457192091706
"538",-3.20231127507319
"539",-4.22037693409799
"540",-4.06418465791163
"541",-6.6246030591521
"542",-4.3980165779346
"543",-5.0206543822412
"544",-8.89533305121978
"545",-3.75493162759775
"546",-5.55864944060962
"547",-22.1770390896285
"548",-21.4392016046915
"549",-2.84593663866749
"550",-2.78992441682468
"551",-22.8187734383085
"552",-3.41537617562186
"553",-2.17561147841161
"554",-23.1918939384245
"555",-23.7692951051658
"556",-24.8433008778577
"557",-25.9667331132003
"558",-27.4518042268674
"559",-28.2928454605281
"560",-12.1213959616254
"561",-12.4797841273654
"562",-12.4055349890889
"563",-13.4751661998684
"564",-12.7789858757814
"565",-13.732267574675
"566",-4.37793266923507
"567",-3.27419853183692
"568",-1.81812937006251
"569",-3.09689054026612
